0	Jan van Aken	dummy.png	/wiki/Jan_van_Aken_(Politiker)	Jan Paul van Aken (* 1. Mai 1961 in Reinbek) ist ein deutscher Aktivist für Greenpeace und Politiker (Die Linke). Er ist Mitglied des Auswärtigen Ausschusses und des Unterausschusses für Abrüstung, Rüstungskontrolle und Nichtverbreitung im Deutschen Bundestag. Van Aken zog 2009 über die Hamburger Landesliste seiner Partei in den 17. Deutschen Bundestag ein. Von 2012 bis 2014 war er stellvertretender Parteivorsitzender der Partei Die Linke. Er war einer der acht Spitzenkandidaten seiner Partei für die Bundestagswahl 2013 und wurde durch diese in den 18. Deutschen Bundestag gewählt.	936486542	jan_vanaken
1	Stephan Albani	dummy.png	/wiki/Stephan_Albani	Stephan Albani (* 3. Juni 1968 in Göttingen) ist ein deutscher Physiker und Politiker (CDU). Seit der Bundestagswahl 2013 ist er Mitglied des Deutschen Bundestages.	none	none
2	Katrin Albsteiger	dummy.png	/wiki/Katrin_Albsteiger	Katrin Albsteiger (* 20. November 1983 in Ulm als Katrin Poleschner) ist eine deutsche Politikerin der CSU. Sie ist seit der 18. Wahlperiode Mitglied des Deutschen Bundestages sowie eine der vier stellvertretenden Bundesvorsitzenden der Jungen Union.	429357796	dieAlbsteigerin
3	Agnes Alpers	dummy.png	/wiki/Agnes_Alpers	Agnes Alpers (* 29. Juni 1961 in Oerel) ist eine deutsche Pädagogin, Politikerin (Die Linke) und ehemaliges Mitglied des Bundestages.	181699011	AgnesAlpers
4	Peter Altmaier	dummy.png	/wiki/Peter_Altmaier	Peter Altmaier (* 18. Juni 1958 in Ensdorf, Saar), ist ein deutscher Politiker (CDU). Seit dem 17. Dezember 2013 ist er Bundesminister für besondere Aufgaben und Chef des Bundeskanzleramtes im Kabinett Merkel III. Ab dem 22. Mai 2012 war er Nachfolger von Norbert Röttgen als Bundesumweltminister im Kabinett Merkel II. Zuvor war Altmaier Parlamentarischer Geschäftsführer der CDU/CSU-Bundestagsfraktion.	378693834	peteraltmaier
5	Luise Amtsberg	dummy.png	/wiki/Luise_Amtsberg	Luise Amtsberg (* 17. Oktober 1984 in Greifswald, geborene von Jackowski) ist eine deutsche Politikerin von Bündnis 90/Die Grünen und seit der Bundestagswahl 2013 Abgeordnete des Deutschen Bundestages.	126058461	Luise_Amtsberg
6	Kerstin Andreae	dummy.png	/wiki/Kerstin_Andreae	Kerstin Andreae (* 21. Oktober 1968 in Schramberg) ist eine deutsche Politikerin (Bündnis 90/Die Grünen). Sie ist Mitglied des Deutschen Bundestages und seit Ende Februar 2012 eine der fünf stellvertretenden Vorsitzenden der Bundestagsfraktion der Grünen.[1]	41548943	KerstinAndreae
7	Niels Annen	dummy.png	/wiki/Niels_Annen	Niels Annen (* 6. April 1973 in Hamburg-Eimsbüttel) ist ein deutscher Politiker (SPD). Er ist seit 2013 wieder Mitglied des Deutschen Bundestages, dem er bereits von 2005 bis 2009 angehörte. Im SPD-Parteivorstand sitzt Annen ohne Unterbrechung seit 2003. Von 2001 bis 2004 war er Bundesvorsitzender der Jusos, der Jugendorganisation der Partei. Er war von 2010 bis 2011 Senior Transatlantic Fellow beim German Marshall Fund in Washington und von 2011 bis 2013 arbeitete er für das Referat Internationale Politikanalyse der Friedrich-Ebert-Stiftung in Berlin.[1]	42401449	NielsAnnen
8	Ingrid Arndt-Brauer	dummy.png	/wiki/Ingrid_Arndt-Brauer	Ingrid Arndt-Brauer, MdB, (* 20. März 1961 in Marburg) ist eine deutsche Politikerin (SPD).	none	none
9	Rainer Arnold	dummy.png	/wiki/Rainer_Arnold	Rainer Arnold (* 21. Juni 1950 in Stuttgart) ist ein deutscher Politiker (SPD). Er ist seit 2002 verteidigungspolitischer Sprecher der SPD-Bundestagsfraktion.	56990207	rainerarnold
10	Artur Auernhammer	dummy.png	/wiki/Artur_Auernhammer	Artur Auernhammer MdB, (* 9. März 1963 in Oberhochstatt, Landkreis Weißenburg-Gunzenhausen) ist ein deutscher Politiker (CSU).	none	none
11	Heike Baehrens	dummy.png	/wiki/Heike_Baehrens	Heike Baehrens (* 21. September 1955 in Bevern) ist eine deutsche Religionspädagogin und Politikerin (SPD). Seit der Bundestagswahl 2013 ist sie Mitglied des deutschen Bundestages.	none	none
